S0100_RecTime,V0300_HMDVec,V0301_HMDVec,V0302_HMDVec,V0300_HMDPos,V0301_HMDPos,V0302_HMDPos,V0400_HMDRot,V0401_HMDRot,V0402_HMDRot,V0403_HMDRot,V0300_GazeTarget,V0301_GazeTarget,V0302_GazeTarget,S0100_EyeFrames,S0100_ViveTiming,V0300_Combine_Origin,V0301_Combine_Origin,V0302_Combine_Origin,V0300_Combine_GazeDir,V0301_Combine_GazeDir,V0302_Combine_GazeDir,S0100_Combine_Validity,V0300_Left_Origin,V0301_Left_Origin,V0302_Left_Origin,V0300_Left_GazeDir,V0301_Left_GazeDir,V0302_Left_GazeDir,V0200_Left_PupilSensor,V0201_Left_PupilSensor,S0100_Left_Diameter,S0100_Left_Openness,S0100_Left_Validity,V0300_Right_Origin,V0301_Right_Origin,V0302_Right_Origin,V0300_Right_GazeDir,V0301_Right_GazeDir,V0302_Right_GazeDir,V0200_Right_PupilSensor,V0201_Right_PupilSensor,S0100_Right_Diameter,S0100_Right_Openness,S0100_Right_Validity,V0300_Left_HMD2TargAng,V0301_Left_HMD2TargAng,V0302_Left_HMD2TargAng,V0300_Left_HMD2EyeAng,V0301_Left_HMD2EyeAng,V0302_Left_HMD2EyeAng,V0300_Left_GazePoint,V0301_Left_GazePoint,V0302_Left_GazePoint,V0300_Right_HMD2TargAng,V0301_Right_HMD2TargAng,V0302_Right_HMD2TargAng,V0300_Right_HMD2EyeAng,V0301_Right_HMD2EyeAng,V0302_Right_HMD2EyeAng,V0300_Right_GazePoint,V0301_Right_GazePoint,V0302_Right_GazePoint,V0300_Combine_HMD2TargAng,V0301_Combine_HMD2TargAng,V0302_Combine_HMD2TargAng,V0300_Combine_HMD2EyeAng,V0301_Combine_HMD2EyeAng,V0302_Combine_HMD2EyeAng,V0300_Combine_GazePoint,V0301_Combine_GazePoint,V0302_Combine_GazePoint
77615729213,-0.000171147,-0.003930066,0.999992251,0.00829941,2.510064125,-2.477746725,-0.001965357,7.79E-05,0.003915363,-0.999990404,1000,1000,1000,8324,77615725834,3.331756592,4.058731079,-27.69502258,0.003631592,0.007324219,0.999954224,1,35.03935242,3.700073242,-28.37107849,0.002700806,0.004333496,0.999984741,0.437404871,0.446384668,3.547012329,1,1,-29.64160156,4.431716919,-26.99197388,0.004608154,0.010437012,0.999923706,0.464946181,0.415884018,3.598236084,1,1,-35.63943481,44.82659531,150.3170166,0.248292431,0.154746771,-89.99932861,-4.942157745,3.241569042,1729.580444,-35.64025879,44.82469177,150.318161,0.598014355,0.264046043,-89.99725342,-8.098087311,13.83812046,1729.493774,-35.63983154,44.82565689,150.3175964,0.41965583,0.208083495,-89.99847412,-6.481988907,8.433897018,1729.546875
77615805697,-0.000121655,-0.003943778,0.999992251,0.00830622,2.510062218,-2.477736473,-0.00197212,5.29E-05,0.003998612,-0.999990046,1000,1000,1000,8325,77615802339,3.361480713,4.058258057,-27.69094849,0.003356934,0.00730896,0.999954224,1,35.0393219,3.699295044,-28.36053467,0.002258301,0.003936768,0.999984741,0.437495202,0.446386993,3.542907715,1,1,-29.64170837,4.432235718,-26.99334717,0.004501343,0.010818481,0.999923706,0.464968145,0.41580978,3.595794678,1,1,-35.646698,44.81929016,150.324707,0.225561872,0.129392877,-89.9994812,-4.094267368,2.525336027,1729.582764,-35.64755249,44.817379,150.3258209,0.619870186,0.257925868,-89.99719238,-7.819037914,14.47484016,1729.490845,-35.64709473,44.81834793,150.3252563,0.418781966,0.19234626,-89.99859619,-5.918685913,8.380950928,1729.549072
77615885943,-3.62E-05,-0.004002865,0.999992013,0.008341485,2.510058641,-2.477711439,-0.002001494,9.93E-06,0.004083728,-0.999989688,0.919204473,2.491537571,0.006931305,8326,77615882031,3.193725586,4.059509277,-27.682724,0.003082275,0.00743103,0.999954224,1,35.03935242,3.698532104,-28.34997559,0.001815796,0.003540039,0.999984741,0.437585533,0.446384668,3.538345337,1,1,-29.64179993,4.431716919,-26.99473572,0.004379272,0.011444092,0.999923706,0.464990109,0.415735602,3.593566895,1,1,-0.059570313,21.06332016,-179.5214844,0.202831239,0.104038909,-89.99963379,-0.031496417,2.505180597,0.182805061,-0.064666748,19.7278595,-179.526062,0.65571326,0.250931382,-89.99713135,0.026699346,2.525148153,0.160083055,-0.062072754,20.40851784,-179.5238037,0.425776362,0.176608935,-89.99868774,-0.002868119,2.515051842,0.171462297
77615965618,6.69E-05,-0.004031403,0.999991894,0.0083489,2.510055542,-2.47770071,-0.002015549,-4.18E-05,0.00417076,-0.999989271,0.919204473,2.491537571,0.006931305,8327,77615962389,3.3387146,4.057891846,-27.68728638,0.003295898,0.007247925,0.999954224,1,35.03962708,3.6980896,-28.34916687,0.002243042,0.003616333,0.999984741,0.437495202,0.446386993,3.543121338,1,1,-29.6424408,4.432235718,-26.99868774,0.004379272,0.011016846,0.999923706,0.464999378,0.41580978,3.578079224,1,1,-0.064697266,21.05732727,-179.5127563,0.20720236,0.128518611,-89.99954224,-0.032339212,2.505313873,0.182801485,-0.069610596,19.72187233,-179.5172119,0.631235361,0.250931382,-89.9972229,0.026972406,2.523956537,0.160090923,-0.067077637,20.40552139,-179.5150146,0.415284991,0.188849017,-89.99862671,-0.003296231,2.51450181,0.171512127
77616085105,0.000187419,-0.004060565,0.999991775,0.008356907,2.510018826,-2.477687359,-0.002029872,-0.000102299,0.004231257,-0.999988973,0.919204473,2.491537571,0.006931305,8328,77616081912,3.349884033,4.057800293,-27.68904114,0.003082275,0.007507324,0.999954224,1,35.03990173,3.697647095,-28.3483429,0.001724243,0.003662109,0.999984741,0.437585533,0.446384668,3.538589478,1,1,-29.64308167,4.432739258,-27.00263977,0.004516602,0.011505127,0.999908447,0.464990109,0.415735602,3.566650391,1,1,-0.069458008,21.05033684,-179.5071411,0.209825382,0.098793261,-89.99963379,-0.030646438,2.505310535,0.182802439,-0.074279785,19.71488762,-179.5115051,0.659219801,0.258804113,-89.99700928,0.026951514,2.525122643,0.160079956,-0.071838379,20.39876747,-179.5093384,0.430147588,0.176608875,-89.99868774,-0.002415231,2.515064955,0.17151475
77616164933,0.000302418,-0.004140214,0.999991417,0.008367494,2.510016203,-2.477676392,-0.002069445,-0.000160065,0.004278733,-0.999988675,0.919204473,2.491537571,0.006931305,8329,77616161602,3.17791748,4.057174683,-27.6763916,0.003356934,0.007568359,0.999954224,1,35.04016113,3.692581177,-28.33044434,0.002212524,0.003768921,0.999984741,0.437495202,0.446386993,3.543624878,1,1,-29.64378357,4.432739258,-27.00263977,0.004547119,0.011474609,0.999923706,0.465008706,0.415735602,3.566970825,1,1,-0.075592041,21.04343796,-179.5036621,0.215945005,0.126770064,-89.99951172,-0.03161528,2.505395889,0.182796717,-0.080413818,19.70810318,-179.5079346,0.657461286,0.26054883,-89.99700928,0.027185772,2.524833679,0.160079718,-0.077972412,20.38838577,-179.5058289,0.433644205,0.1923462,-89.99853516,-0.002647777,2.515020847,0.171449661
77616244461,0.000486685,-0.004209572,0.999991059,0.008376704,2.509983063,-2.477671385,-0.002103722,-0.000252414,0.004310655,-0.999988437,0.919204473,2.491537571,0.006931305,8330,77616241300,2.887084961,4.058486938,-27.66529846,0.00302124,0.007720947,0.999954224,1,35.04042053,3.6875,-28.31254578,0.002761841,0.003829956,0.999984741,0.437404871,0.446389318,3.539581299,1,1,-29.64517212,4.433837891,-27.01042175,0.00328064,0.011657715,0.999923706,0.4652704,0.415735602,3.563430786,1,1,-0.08114624,21.03255463,-179.5018616,0.219441757,0.158243865,-89.99938965,-0.032565139,2.505358934,0.182790518,-0.08605957,19.69738007,-179.5060425,0.667955101,0.187980488,-89.99780273,0.030989965,2.525068283,0.160087824,-0.083587646,20.37159538,-179.5039978,0.442387164,0.173111767,-89.99865723,-0.000979736,2.515197039,0.171347618
77616324090,0.000634353,-0.00433322,0.999990404,0.008367968,2.509998798,-2.477591991,-0.002165236,-0.000326463,0.004287045,-0.999988437,0.919204473,2.491537571,0.006931305,8331,77616320934,2.565551758,4.0519104,-27.63168335,0.002288818,0.008224487,0.999954224,1,35.04072571,3.665496826,-28.24908447,0.002120972,0.004653931,0.999984741,0.437585533,0.446407616,3.509735107,1,1,-29.64698792,4.435211182,-27.01927185,0.002456665,0.011764526,0.999923706,0.465466082,0.415735602,3.553115845,1,1,-0.085906982,21.02435684,-179.5065613,0.266652137,0.121524394,-89.99942017,-0.030480538,2.507225037,0.182798862,-0.091430664,19.68966293,-179.5108032,0.67407608,0.140767008,-89.99835205,0.033520833,2.525019407,0.160101414,-0.088684082,20.35702705,-179.5087891,0.471238226,0.131145418,-89.99893188,0.001650666,2.51619792,0.171242714
77616404080,0.00075904,-0.004385795,0.999990106,0.008377003,2.509992123,-2.477581501,-0.002191256,-0.00038892,0.004287727,-0.999988317,0.919204473,2.491537571,0.006931305,8332,77616400903,2.144790649,4.053497314,-27.62530518,0.003036499,0.008972168,0.999954224,1,35.04129028,3.657730103,-28.24839783,0.003067017,0.006103516,0.999969482,0.437404871,0.446407616,3.504776001,1,1,-29.64889526,4.436019897,-27.02311707,0.003005981,0.011749268,0.999923706,0.465435028,0.415735602,3.55140686,1,1,-0.088653564,21.01709366,-179.5075378,0.349710375,0.175731927,-89.99893188,-0.0326012,2.510924339,0.18278861,-0.094390869,19.68237495,-179.5117798,0.673200905,0.172242686,-89.99798584,0.032422952,2.524847031,0.160097599,-0.091583252,20.34108162,-179.5097656,0.514074743,0.173985988,-89.9984436,0.000464729,2.518027544,0.171082258
77616484182,0.000874486,-0.004463582,0.999989688,0.008360037,2.509986162,-2.477581501,-0.002229915,-0.000446742,0.004257262,-0.999988377,0.919204473,2.491537571,0.006931305,8333,77616480965,1.420166016,4.060958862,-27.61277771,0.003005981,0.009307861,0.999938965,1,35.04188538,3.655105591,-28.24778748,0.003082275,0.006484985,0.999969482,0.437383264,0.446417421,3.504852295,1,1,-29.64952087,4.436019897,-27.0259552,0.002944946,0.011901855,0.999923706,0.465466082,0.415735602,3.551345825,1,1,-0.091583252,21.01080132,-179.5123901,0.371566683,0.176606223,-89.99884033,-0.032347489,2.511720181,0.182793856,-0.097503662,19.67608452,-179.5166016,0.681942999,0.168745354,-89.99798584,0.032868862,2.525034428,0.160102606,-0.094665527,20.31983566,-179.5146484,0.533316076,0.172240019,-89.99838257,0.001561397,2.518687963,0.170832634
77616563806,0.001006358,-0.004562458,0.999989092,0.008363516,2.509981632,-2.477588415,-0.002279084,-0.000512836,0.004234664,-0.999988258,0.919204473,2.491537571,0.006931305,8334,77616560680,0.889907837,4.065582275,-27.60069275,0.00302124,0.009155273,0.999938965,1,35.04286194,3.65007019,-28.2432251,0.002975464,0.007247925,0.999954224,0.43738097,0.446407616,3.496856689,1,1,-29.65020752,4.437133789,-27.02612305,0.003051758,0.010848999,0.999923706,0.46546784,0.415884018,3.549591064,1,1,-0.09588623,21.00306511,-179.5167847,0.415285468,0.170488819,-89.9987793,-0.031700622,2.51346612,0.182789326,-0.102050781,19.66835213,-179.5209351,0.621622026,0.174865648,-89.99810791,0.032913689,2.522024155,0.160121679,-0.099121094,20.30115891,-179.519043,0.524573565,0.173114344,-89.99841309,0.002396578,2.518019199,0.17064929
77616644611,0.001089843,-0.004599404,0.999988854,0.008365898,2.509971619,-2.477583647,-0.002297378,-0.000554666,0.004238852,-0.999988258,0.919204473,2.491537571,0.006931305,8335,77616640019,1.024124146,4.06036377,-27.59674072,0.003219604,0.009475708,0.999938965,1,35.04345703,3.642410278,-28.22926331,0.00340271,0.008010864,0.999954224,0.43730399,0.446407616,3.48916626,1,1,-29.65020752,4.437225342,-27.02641296,0.003051758,0.010787964,0.999923706,0.46546784,0.41588974,3.548843384,1,1,-0.098052979,20.99815369,-179.5170898,0.45899725,0.194969118,-89.9984436,-0.032586429,2.515384436,0.182780504,-0.104370117,19.66354179,-179.5212402,0.6181252,0.174865648,-89.99810791,0.033132914,2.521758556,0.160123348,-0.101379395,20.29905891,-179.5193481,0.542932153,0.184480399,-89.9982605,0.001970938,2.518761873,0.170691252
77616723798,0.001195073,-0.004708491,0.999988198,0.008363903,2.509959459,-2.477591276,-0.002351693,-0.000607533,0.004247726,-0.999988019,0.919204473,2.491537571,0.006931305,8336,77616720422,1.489456177,4.054519653,-27.61120605,0.003036499,0.00970459,0.999938965,1,35.04522705,3.641891479,-28.22782898,0.003067017,0.008010864,0.999954224,0.43730399,0.446407616,3.488739014,1,1,-29.65020752,4.437438965,-27.03897095,0.003005981,0.011276245,0.999923706,0.46546784,0.41588974,3.536453247,1,1,-0.10446167,20.99207687,-179.5184631,0.458997697,0.175734565,-89.99859619,-0.031429291,2.515078306,0.182784557,-0.110839844,19.65753746,-179.5224609,0.646100283,0.172242671,-89.99804688,0.033536516,2.52273488,0.160118341,-0.107757568,20.3026104,-179.5205994,0.556046009,0.173988685,-89.99829102,0.002264514,2.519066334,0.170854092
